name,recall,predicted_count,prediction_ratio,support
william,0.4285714626312256,18,1.2080536912751678,14
ashley,0.3333333432674408,16,1.0738255033557047,15
nick,0.3333333432674408,20,1.342281879194631,15
sara,0.2666666805744171,21,1.4093959731543624,15
ana,0.2666666805744171,21,1.4093959731543624,15
michael,0.20000001788139343,12,0.8053691275167785,15
jessica,0.20000001788139343,19,1.2751677852348993,15
anna,0.20000001788139343,10,0.6711409395973155,15
mark,0.20000001788139343,25,1.6778523489932886,15
john,0.20000001788139343,16,1.0738255033557047,15
thomas,0.13333334028720856,12,0.8053691275167785,15
emily,0.13333334028720856,25,1.6778523489932886,15
amanda,0.13333334028720856,32,2.1476510067114094,15
daniel,0.13333334028720856,16,1.0738255033557047,15
michelle,0.13333334028720856,18,1.2080536912751678,15
matt,0.13333334028720856,14,0.9395973154362416,15
andrew,0.0714285746216774,11,0.7382550335570469,14
andrea,0.06666667014360428,11,0.7382550335570469,15
laura,0.06666667014360428,10,0.6711409395973155,15
alex,0.06666667014360428,20,1.342281879194631,15
chris,0.06666667014360428,15,1.006711409395973,15
james,0.06666667014360428,3,0.20134228187919462,15
lisa,0.06666667014360428,10,0.6711409395973155,15
mike,0.06666667014360428,19,1.2751677852348993,15
david,0.0,9,0.6040268456375839,15
sarah,0.0,14,0.9395973154362416,15
maria,0.0,5,0.33557046979865773,15
sam,0.0,11,0.7382550335570469,15
nicole,0.0,6,0.40268456375838924,14
emma,0.0,8,0.5369127516778524,15
