name,accuracy,sample_count,above_random
william,0.5139999985694885,3029,0.4806666652361552
lisa,0.25933611392974854,2408,0.2260027805964152
nick,0.248927041888237,2327,0.21559370855490367
emily,0.22800001502037048,2684,0.19466668168703716
daniel,0.21000000834465027,4217,0.17666667501131694
ashley,0.18454936146736145,2326,0.15121602813402812
ana,0.17600001394748688,2898,0.14266668061415355
mark,0.17600001394748688,2529,0.14266668061415355
matt,0.17596566677093506,2328,0.14263233343760173
jessica,0.17000000178813934,3387,0.13666666845480602
alex,0.15800000727176666,5960,0.12466667393843334
sara,0.14800000190734863,2945,0.1146666685740153
chris,0.14600001275539398,3782,0.11266667942206066
anna,0.14000000059604645,3383,0.10666666726271312
michelle,0.1392931342124939,2405,0.10595980087916057
mike,0.13513512909412384,2404,0.10180179576079051
andrew,0.12600000202655792,2562,0.0926666686932246
sam,0.10600000619888306,2936,0.07266667286554973
laura,0.09800000488758087,4645,0.06466667155424755
julia,0.08423326164484024,2313,0.05089992831150691
michael,0.0820000022649765,4801,0.04866666893164317
john,0.07600000500679016,3794,0.04266667167345683
maria,0.06800000369548798,3270,0.03466667036215464
thomas,0.06400000303983688,2978,0.03066666970650355
andrea,0.06000000238418579,3053,0.026666669050852458
david,0.0560000017285347,5674,0.022666668395201366
nicole,0.05400000140070915,2501,0.02066666806737582
amanda,0.04800000041723251,3428,0.01466666708389918
sarah,0.03800000250339508,4473,0.004666669170061748
james,0.02800000086426735,3736,-0.005333332469065984
