name,accuracy,train_samples,val_samples,above_random
william,0.33673468232154846,500,294,0.31673468232154844
mary,0.30434784293174744,500,184,0.2843478429317474
lucas,0.2660098373889923,500,203,0.24600983738899232
carlos,0.23783785104751587,500,185,0.21783785104751588
ali,0.19540229439735413,500,174,0.17540229439735414
gabriel,0.1812865436077118,500,171,0.1612865436077118
lisa,0.1751152127981186,500,217,0.1551152127981186
katie,0.15469613671302795,500,181,0.13469613671302796
matt,0.15238095819950104,500,210,0.13238095819950105
mark,0.13793103396892548,500,232,0.11793103396892547
ana,0.1268656700849533,500,268,0.1068656700849533
sara,0.12030075490474701,500,266,0.100300754904747
ashley,0.10679611563682556,500,206,0.08679611563682556
kevin,0.10552763938903809,500,199,0.08552763938903808
jessica,0.08666666597127914,500,300,0.06666666597127914
hannah,0.0810810849070549,500,185,0.0610810849070549
maria,0.08053691685199738,500,298,0.06053691685199737
ryan,0.07655502110719681,500,209,0.056555021107196804
andrew,0.0762711837887764,500,236,0.056271183788776394
julia,0.0758293867111206,500,211,0.0558293867111206
rachel,0.07526881992816925,500,186,0.05526881992816925
anna,0.0690789446234703,500,304,0.0490789446234703
stephanie,0.06818182021379471,500,176,0.048181820213794704
mike,0.06451612710952759,500,217,0.044516127109527584
chris,0.06432748585939407,500,342,0.04432748585939407
peter,0.0625,500,176,0.042499999999999996
nick,0.0607476606965065,500,214,0.040747660696506496
michael,0.057906460016965866,500,449,0.03790646001696586
laura,0.05542168766260147,500,415,0.03542168766260147
thomas,0.05319148674607277,500,282,0.033191486746072765
jennifer,0.052941177040338516,500,170,0.03294117704033851
george,0.05291005223989487,500,189,0.03291005223989486
alex,0.04927007108926773,500,548,0.02927007108926773
lauren,0.04926108196377754,500,203,0.02926108196377754
amy,0.047337278723716736,500,169,0.027337278723716735
john,0.0451977401971817,500,354,0.0251977401971817
andrea,0.04395604506134987,500,273,0.02395604506134987
emma,0.04306219890713692,500,209,0.023062198907136917
michelle,0.04245283082127571,500,212,0.02245283082127571
melissa,0.03954802453517914,500,177,0.019548024535179138
sarah,0.03826530650258064,500,392,0.018265306502580642
david,0.0360531322658062,500,527,0.016053132265806198
emily,0.029411766678094864,500,238,0.009411766678094863
amanda,0.022727273404598236,500,308,0.0027272734045982357
paul,0.019704433158040047,500,203,-0.0002955668419599537
james,0.0169014073908329,500,355,-0.0030985926091670994
daniel,0.015463916584849358,500,388,-0.004536083415150643
nicole,0.0133928582072258,500,224,-0.006607141792774201
sam,0.007380073890089989,500,271,-0.012619926109910012
robert,0.00561797758564353,500,178,-0.01438202241435647
