epoch,train_loss,train_acc,val_acc
1,3.414084,0.045333,0.043000
2,3.387422,0.045500,0.041333
3,3.383056,0.049667,0.044667
4,3.378935,0.051833,0.044333
5,3.374491,0.050500,0.045333
6,3.371087,0.054000,0.044333
7,3.370068,0.053667,0.046833
8,3.367266,0.053667,0.048667
9,3.365359,0.051167,0.045833
10,3.359968,0.054333,0.046167
11,3.355633,0.053833,0.046833
12,3.349982,0.056000,0.051500
13,3.343410,0.059500,0.049333
14,3.330380,0.068167,0.049333
15,3.327733,0.062500,0.054000
16,3.312356,0.067167,0.051333
17,3.304682,0.068500,0.057000
18,3.289112,0.075333,0.058833
19,3.274236,0.074167,0.055667
20,3.254524,0.075667,0.059500
21,3.238902,0.082500,0.052833
22,3.234902,0.082000,0.063667
23,3.201413,0.088500,0.061333
24,3.200899,0.091667,0.064667
25,3.166487,0.101000,0.062833
26,3.160232,0.100500,0.064333
27,3.139518,0.103500,0.066333
28,3.122470,0.105500,0.061333
29,3.097226,0.112833,0.063000
30,3.086058,0.113833,0.061167
31,3.068694,0.122500,0.059167
32,3.034177,0.130833,0.060333
33,3.008213,0.135167,0.063167
34,2.980234,0.144333,0.062500
35,2.946448,0.151500,0.060000
36,2.928445,0.155000,0.059833
37,2.875574,0.169500,0.063000
38,2.822649,0.181667,0.060000
39,2.799874,0.195833,0.063000
40,2.749372,0.204000,0.062500
41,2.705621,0.219333,0.060500
42,2.667384,0.229667,0.059833
43,2.618315,0.241167,0.058333
44,2.579840,0.255833,0.055333
45,2.526857,0.279500,0.056667
46,2.462309,0.295667,0.057500
47,2.398451,0.321000,0.060500
48,2.354239,0.329000,0.058167
49,2.267916,0.363333,0.058667
50,2.189071,0.402000,0.052833
